model_name,Accuracy,Hamming_distance,F1_micro,F1_macro,Recall_micro,Recall_macro,Precision_micro,Precision_macro
tfidf_catboost_ngram_1_1,0.42424242424242425,0.42803,0.5671641791044776,0.463884430176565,0.4318181818181818,0.42696629213483145,0.8260869565217391,0.5589887640449438
tfidf_logreg_ngram_1_1,0.36742424242424243,0.47898,0.5238095238095238,0.5168871702579567,0.625,0.6179775280898876,0.45081967213114754,0.49688944014786707
tfidf_logreg_ngram_1_2,0.38257575757575757,0.49463,0.5526315789473685,0.5326943307115151,0.6363636363636364,0.6292134831460674,0.4883720930232558,0.5149678972712681
ai-forever-rubert-base,0.5606060606060606,0.56061,0.593186372745491,0.5179175381422572,0.5606060606060606,0.5543071161048689,0.6297872340425532,0.5448680221152131
cointegrated-rubert-tiny2_14,0.5037878787878788,0.50568,0.5654008438818565,0.48229242667444916,0.5075757575757576,0.50187265917603,0.638095238095238,0.5216292134831461
FacebookAI-xlm-roberta-base_10,0.5454545454545454,0.54735,0.5811623246492986,0.4938096859445174,0.5492424242424242,0.5430711610486891,0.6170212765957447,0.48532637774210813
Geotrend-distilbert-base-ru-cased_12,0.5227272727272727,0.52841,0.564,0.4930533261993936,0.5340909090909091,0.5280898876404494,0.597457627118644,0.5059390048154093
